Date_Time (LST/LDT), Event, Speed (knots),Dive Site,Current Station Name,Current Station ID,Latitude,Longitude
1/1/24 2:42, slack,-,Tacoma Narrows,"The Narrows, North",PUG1527,47.26533573,-122.5444392
1/1/24 5:48, flood,4.5,Tacoma Narrows,"The Narrows, North",PUG1528,47.26533573,-122.5444392
1/1/24 9:42, slack,-,Tacoma Narrows,"The Narrows, North",PUG1529,47.26533573,-122.5444392
1/1/24 12:36, ebb,-3,Tacoma Narrows,"The Narrows, North",PUG1530,47.26533573,-122.5444392
1/1/24 16:06, slack,-,Tacoma Narrows,"The Narrows, North",PUG1531,47.26533573,-122.5444392
1/1/24 18:06, flood,1.9,Tacoma Narrows,"The Narrows, North",PUG1532,47.26533573,-122.5444392
1/1/24 20:42, slack,-,Tacoma Narrows,"The Narrows, North",PUG1533,47.26533573,-122.5444392
1/2/24 0:00, ebb,-3.5,Tacoma Narrows,"The Narrows, North",PUG1534,47.26533573,-122.5444392
1/2/24 3:18, slack,-,Tacoma Narrows,"The Narrows, North",PUG1535,47.26533573,-122.5444392
1/2/24 6:24, flood,4.3,Tacoma Narrows,"The Narrows, North",PUG1536,47.26533573,-122.5444392
1/2/24 10:12, slack,-,Tacoma Narrows,"The Narrows, North",PUG1537,47.26533573,-122.5444392
1/2/24 13:18, ebb,-3.2,Tacoma Narrows,"The Narrows, North",PUG1538,47.26533573,-122.5444392
1/2/24 17:00, slack,-,Tacoma Narrows,"The Narrows, North",PUG1539,47.26533573,-122.5444392
1/2/24 19:00, flood,1.9,Tacoma Narrows,"The Narrows, North",PUG1540,47.26533573,-122.5444392
1/2/24 21:42, slack,-,Tacoma Narrows,"The Narrows, North",PUG1541,47.26533573,-122.5444392
1/3/24 0:48, ebb,-2.9,Tacoma Narrows,"The Narrows, North",PUG1542,47.26533573,-122.5444392
1/3/24 3:54, slack,-,Tacoma Narrows,"The Narrows, North",PUG1543,47.26533573,-122.5444392
1/3/24 7:06, flood,3.9,Tacoma Narrows,"The Narrows, North",PUG1544,47.26533573,-122.5444392
1/3/24 10:48, slack,-,Tacoma Narrows,"The Narrows, North",PUG1545,47.26533573,-122.5444392
1/3/24 14:06, ebb,-3.5,Tacoma Narrows,"The Narrows, North",PUG1546,47.26533573,-122.5444392
1/3/24 17:48, slack,-,Tacoma Narrows,"The Narrows, North",PUG1547,47.26533573,-122.5444392
1/3/24 20:00, flood,2.1,Tacoma Narrows,"The Narrows, North",PUG1548,47.26533573,-122.5444392
1/3/24 23:00, slack,-,Tacoma Narrows,"The Narrows, North",PUG1549,47.26533573,-122.5444392
1/4/24 1:42, ebb,-2.2,Tacoma Narrows,"The Narrows, North",PUG1550,47.26533573,-122.5444392
1/4/24 4:36, slack,-,Tacoma Narrows,"The Narrows, North",PUG1551,47.26533573,-122.5444392
1/4/24 7:48, flood,3.4,Tacoma Narrows,"The Narrows, North",PUG1552,47.26533573,-122.5444392
1/4/24 11:18, slack,-,Tacoma Narrows,"The Narrows, North",PUG1553,47.26533573,-122.5444392
1/4/24 14:48, ebb,-3.8,Tacoma Narrows,"The Narrows, North",PUG1554,47.26533573,-122.5444392
1/4/24 18:36, slack,-,Tacoma Narrows,"The Narrows, North",PUG1555,47.26533573,-122.5444392
1/4/24 21:00, flood,2.4,Tacoma Narrows,"The Narrows, North",PUG1556,47.26533573,-122.5444392
1/5/24 0:24, slack,-,Tacoma Narrows,"The Narrows, North",PUG1557,47.26533573,-122.5444392
1/5/24 2:48, ebb,-1.6,Tacoma Narrows,"The Narrows, North",PUG1558,47.26533573,-122.5444392
1/5/24 5:30, slack,-,Tacoma Narrows,"The Narrows, North",PUG1559,47.26533573,-122.5444392
1/5/24 8:36, flood,2.7,Tacoma Narrows,"The Narrows, North",PUG1560,47.26533573,-122.5444392
1/5/24 11:48, slack,-,Tacoma Narrows,"The Narrows, North",PUG1561,47.26533573,-122.5444392
1/5/24 15:36, ebb,-4,Tacoma Narrows,"The Narrows, North",PUG1562,47.26533573,-122.5444392
1/5/24 19:24, slack,-,Tacoma Narrows,"The Narrows, North",PUG1563,47.26533573,-122.5444392
1/5/24 22:06, flood,3,Tacoma Narrows,"The Narrows, North",PUG1564,47.26533573,-122.5444392
1/6/24 1:54, slack,-,Tacoma Narrows,"The Narrows, North",PUG1565,47.26533573,-122.5444392
1/6/24 4:00, ebb,-1.3,Tacoma Narrows,"The Narrows, North",PUG1566,47.26533573,-122.5444392
