Date_Time (LST/LDT), Event, Speed (knots),Dive Site,Current Station Name,Current Station ID,Latitude,Longitude
1/1/24 2:48, slack,-,Salt Creek,Ediz Hook,PUG1638,48.16745522,-123.704473
1/1/24 5:12, flood,0.7,Salt Creek,Ediz Hook,PUG1639,48.16745522,-123.704473
1/1/24 8:36, slack,-,Salt Creek,Ediz Hook,PUG1640,48.16745522,-123.704473
1/1/24 13:06, ebb,-1,Salt Creek,Ediz Hook,PUG1641,48.16745522,-123.704473
1/1/24 18:12, ebb,-0.1,Salt Creek,Ediz Hook,PUG1642,48.16745522,-123.704473
1/2/24 0:12, ebb,-0.8,Salt Creek,Ediz Hook,PUG1643,48.16745522,-123.704473
1/2/24 3:42, slack,-,Salt Creek,Ediz Hook,PUG1644,48.16745522,-123.704473
1/2/24 5:54, flood,0.4,Salt Creek,Ediz Hook,PUG1645,48.16745522,-123.704473
1/2/24 9:00, slack,-,Salt Creek,Ediz Hook,PUG1646,48.16745522,-123.704473
1/2/24 13:48, ebb,-1.2,Salt Creek,Ediz Hook,PUG1647,48.16745522,-123.704473
1/2/24 21:12, slack,-,Salt Creek,Ediz Hook,PUG1648,48.16745522,-123.704473
1/3/24 1:36, ebb,-0.5,Salt Creek,Ediz Hook,PUG1649,48.16745522,-123.704473
1/3/24 4:48, slack,-,Salt Creek,Ediz Hook,PUG1650,48.16745522,-123.704473
1/3/24 6:48, flood,0.3,Salt Creek,Ediz Hook,PUG1651,48.16745522,-123.704473
1/3/24 9:18, slack,-,Salt Creek,Ediz Hook,PUG1652,48.16745522,-123.704473
1/3/24 14:24, ebb,-1.3,Salt Creek,Ediz Hook,PUG1653,48.16745522,-123.704473
1/3/24 20:18, slack,-,Salt Creek,Ediz Hook,PUG1654,48.16745522,-123.704473
1/3/24 22:24, flood,0.2,Salt Creek,Ediz Hook,PUG1655,48.16745522,-123.704473
1/4/24 0:06, slack,-,Salt Creek,Ediz Hook,PUG1656,48.16745522,-123.704473
1/4/24 3:06, ebb,-0.4,Salt Creek,Ediz Hook,PUG1657,48.16745522,-123.704473
1/4/24 6:42, slack,-,Salt Creek,Ediz Hook,PUG1658,48.16745522,-123.704473
1/4/24 9:18, slack,-,Salt Creek,Ediz Hook,PUG1659,48.16745522,-123.704473
1/4/24 14:54, ebb,-1.5,Salt Creek,Ediz Hook,PUG1660,48.16745522,-123.704473
1/4/24 19:42, slack,-,Salt Creek,Ediz Hook,PUG1661,48.16745522,-123.704473
1/4/24 23:00, flood,0.5,Salt Creek,Ediz Hook,PUG1662,48.16745522,-123.704473
1/5/24 1:30, slack,-,Salt Creek,Ediz Hook,PUG1663,48.16745522,-123.704473
1/5/24 4:18, ebb,-0.6,Salt Creek,Ediz Hook,PUG1664,48.16745522,-123.704473
1/5/24 9:06, slack,-,Salt Creek,Ediz Hook,PUG1665,48.16745522,-123.704473
1/5/24 15:24, ebb,-1.7,Salt Creek,Ediz Hook,PUG1666,48.16745522,-123.704473
1/5/24 19:36, slack,-,Salt Creek,Ediz Hook,PUG1667,48.16745522,-123.704473
1/5/24 23:18, flood,0.7,Salt Creek,Ediz Hook,PUG1668,48.16745522,-123.704473
1/6/24 2:12, slack,-,Salt Creek,Ediz Hook,PUG1669,48.16745522,-123.704473
1/6/24 5:18, ebb,-0.8,Salt Creek,Ediz Hook,PUG1670,48.16745522,-123.704473
1/6/24 10:06, slack,-,Salt Creek,Ediz Hook,PUG1671,48.16745522,-123.704473
